person_income,person_home_ownership,loan_percent_income,loan_int_rate,cb_person_default_on_file,loan_status
59000,0,0.15,16.02,1,1
9600,2,0.1,11.14,0,0
9600,1,0.15,12.87,0,1
65500,0,0.15,15.23,0,1
54400,0,0.15,14.27,1,1
9900,2,0.25,7.14,0,1
77100,0,0.45,12.42,0,1
78956,0,0.44,11.11,0,1
83000,0,0.42,8.9,0,1
10000,2,0.16,14.74,0,1
85000,0,0.41,10.37,0,1
10000,2,0.45,8.63,0,1
95000,0,0.37,7.9,0,1
108160,0,0.32,18.39,0,1
55000,0,0.3,7.9,0,0
55000,1,0.06,10.65,0,0
55000,0,0.29,7.9,0,0
92111,0,0.32,20.25,0,1
55000,0,0.31,18.25,0,1
10800,1,0.16,10.99,0,1
55000,0,0.22,7.49,0,0
55000,0,0.25,16.77,1,0
65000,0,0.15,17.58,0,1
10980,2,0.14,7.29,0,0
80000,0,0.42,14.54,1,1
67746,0,0.49,12.68,0,1
11000,1,0.42,17.74,1,1
11000,2,0.13,9.32,0,0
65000,0,0.5,9.99,0,1
11389,3,0.35,12.84,1,1
11520,2,0.17,11.12,0,1
55000,0,0.27,6.62,0,0
95000,0,0.33,14.17,1,1
55000,0,0.08,13.85,0,0
55000,1,0.03,13.49,0,0
12000,2,0.21,7.51,0,1
48000,0,0.15,18.39,0,1
64000,0,0.47,14.54,1,1
75000,0,0.4,16.89,1,1
71500,0,0.42,10.99,0,1
62050,0,0.41,17.99,0,1
12000,2,0.21,12.69,0,1
55000,1,0.07,7.88,0,0
55000,2,0.08,19.41,1,0
55000,2,0.03,10.38,0,0
55000,1,0.08,15.33,0,0
55000,1,0.06,16.45,0,0
80690,0,0.37,7.49,0,1
66300,0,0.38,12.69,0,1
89028,0,0.34,6.62,0,1
78000,0,0.38,10.99,1,1
78000,0,0.38,18.62,1,1
92004,0,0.33,15.23,1,1
97000,0,0.31,10.65,0,1
55000,0,0.25,7.9,0,0
55000,0,0.04,15.96,1,0
55000,0,0.07,11.48,0,0
55000,2,0.13,10.99,0,0
55000,0,0.23,7.29,0,0
12000,2,0.15,10.99,1,0
55000,0,0.23,5.99,0,0
55000,2,0.04,11.58,0,0
55000,1,0.04,10.99,0,1
55000,1,0.1,15.7,0,1
70000,0,0.42,15.99,0,1
12000,1,0.13,14.84,1,0
55000,2,0.11,10.99,0,0
55000,1,0.08,14.42,1,0
55000,1,0.04,6.99,0,0
55000,0,0.1,13.49,0,0
12000,2,0.25,10.99,0,1
56950,0,0.49,10.99,0,1
12000,2,0.25,13.61,1,1
65000,0,0.43,7.9,0,1
85000,0,0.33,7.49,0,1
12000,2,0.15,7.51,0,1
88000,0,0.32,9.91,0,1
12000,2,0.35,13.48,1,1
12000,2,0.4,7.14,0,1
83004,0,0.34,15.99,1,1
55000,0,0.07,12.98,1,0
55000,0,0.02,13.57,0,0
100000,0,0.28,12.69,0,0
110000,0,0.25,8.9,0,0
12000,2,0.23,10.99,0,1
108000,0,0.26,10.99,0,1
55000,0,0.19,11.11,0,0
69000,0,0.4,10.99,0,1
12000,1,0.27,15.68,1,1
70000,0,0.39,13.06,1,1
55000,2,0.1,10.99,0,0
73200,0,0.37,15.62,1,1
83000,0,0.33,13.49,1,1
73399,0,0.37,10.99,0,1
62500,0,0.42,11.71,0,1
55000,0,0.21,12.69,0,0
12360,2,0.13,13.57,0,0
60000,0,0.42,10.99,0,1
55000,1,0.09,14.27,1,0
55000,2,0.09,8.88,0,0
55000,1,0.09,12.18,0,0
55000,1,0.05,14.42,1,1
55000,1,0.11,14.17,1,0
55000,1,0.15,13.99,0,0
83000,0,0.3,10.99,0,1
12600,1,0.16,5.42,0,1
12600,2,0.14,13.61,0,0
42500,0,0.15,12.73,1,1
41000,0,0.15,10.99,0,1
12816,2,0.23,12.87,1,1
12960,1,0.28,9.91,0,1
55000,1,0.09,11.49,0,0
55000,1,0.13,19.91,1,0
55000,1,0.16,10.65,0,1
55000,0,0.03,10.99,0,0
12960,1,0.35,11.83,0,1
12996,2,0.18,13.49,1,1
42000,0,0.15,14.59,1,1
48000,0,0.15,9.64,0,1
12996,2,0.28,14.59,0,1
12996,2,0.37,10.99,0,1
42360,0,0.15,16.35,1,1
49000,0,0.15,10.99,0,1
55000,1,0.11,18.67,0,0
55000,0,0.01,9.32,0,0
55000,0,0.03,8.63,0,0
55000,1,0.11,10.08,0,0
49464,0,0.15,11.83,0,1
50000,0,0.5,7.9,0,1
50000,0,0.5,5.99,0,1
44000,0,0.15,15.33,0,1
50000,0,0.5,11.83,0,1
50004,0,0.5,10.36,0,1
50004,0,0.5,12.23,0,1
52000,0,0.48,11.11,0,1
13200,2,0.38,7.9,0,1
55000,1,0.11,11.58,0,0
55000,1,0.1,8.9,0,0
55000,1,0.12,16.07,0,0
55000,1,0.09,14.22,1,0
55000,1,0.16,14.79,1,0
55000,1,0.06,7.88,0,0
52000,0,0.48,13.22,0,1
46000,0,0.15,11.86,0,1
53000,0,0.47,13.43,1,1
47000,0,0.15,15.28,1,1
47000,0,0.15,17.93,0,1
13200,1,0.11,9.25,0,0
13200,2,0.34,12.98,0,1
55000,1,0.08,10.62,0,0
55000,2,0.1,11.83,0,0
48000,0,0.15,18.43,0,1
54996,0,0.45,10.99,0,1
55000,0,0.45,10.99,1,1
55000,0,0.45,11.36,0,1
55000,0,0.45,15.65,1,1
55164,0,0.45,13.22,1,1
56000,0,0.45,12.87,0,1
55000,2,0.1,13.04,0,0
55000,1,0.12,17.58,1,1
13920,2,0.15,17.04,0,1
60000,0,0.42,10.99,0,1
60000,0,0.42,11.11,0,1
54000,0,0.46,14.83,1,1
14000,2,0.29,10.99,0,1
55000,0,0.06,12.69,0,0
55000,1,0.06,13.49,0,0
55000,1,0.08,14.65,0,0
54000,0,0.46,16.82,0,1
60000,0,0.42,12.73,0,1
60000,0,0.42,10.25,0,1
60000,0,0.42,10.99,0,1
61959,0,0.4,12.73,0,1
56400,0,0.44,14.96,1,1
55000,1,0.14,10.99,0,0
55000,1,0.13,13.99,0,0
55000,1,0.12,7.49,0,0
55000,1,0.07,14.79,0,0
55000,1,0.08,11.99,0,0
55000,0,0.05,8.49,0,0
66000,0,0.38,9.91,0,1
